Ch00-01,Time to wake up!,该起床了！,1
Ch00-01,Good morning!,早安,2
Ch00-01,Did you sleep well?,睡得好吗？,3
Ch00-01,come and eat your breakfast.,快来吃早餐吧。,4
Ch00-01,Don't be picky about your food.,不要挑食。,5
Ch00-01,Wash your face and brush your teeth.,洗脸刷牙。,6
Ch00-01,Daddy is leaving. Say goodbye.,爸爸要出门了，说再见。,7
Ch00-01,Let's get dressed.,来穿衣服吧。,8
Ch00-01,What do you want to wear today?,今天你想穿什么呢？,9
Ch00-01,Let me comb your hair.,我来帮你梳头。,10
Ch00-01,Did you put some lotion on your face?,你的脸上擦乳液了吗？,11
Ch00-01,Hurry up.Honey!You'll be late.,快点，宝贝！要迟到了。,12
Ch00-01,Here's the elevator.Let's get in.,电梯来了。我们进去吧。,13
Ch00-01,Push button one.,按一楼。,14
Ch00-01,Let's get out.,我们出去吧。,15
Ch00-01,Have a nice day.,祝你有个美好的一天。,16
Ch00-01,Watch out for cars.,小心车子。,17
Ch00-01,How was school today?,今天学校如何？,18
Ch00-01,Are you hungry?,你饿了吗？,19
Ch00-01,Go wash your hands.,去洗手。,20
Ch00-01,Let's have a snack.,我们吃点心吧。,21
Ch00-01,Do you want some more?,还想要多吃点吗？,22
Ch00-01,Recess is over!,休息时间结束了。,23
Ch00-01,It's time to study!,该学习了。,24
Ch00-01,Sit properly.,坐好。,25
Ch00-01,Do you have any homework?,你有作业吗？,26
Ch00-01,Are you done with your homework?,你作业做完了吗？,27
Ch00-01,Did you do well on your test?,考试考得好吗？,28
Ch00-01,What score did you get on the test?,你考了几分？,29
Ch00-01,Good job!,你做得很好！,30
Ch00-01,Move back from the TV.,从电视那里往后退。,31
Ch00-01,Turn off the TV now.,现在关掉电视。,32
Ch00-01,Who made such a mess?,是谁弄得这么乱？,33
Ch00-01,Put your toys away.,把你的玩具收拾好。,34
Ch00-01,Are you sick?,你不舒服吗？,35
Ch00-01,Do you wantto pee/poop?,你要尿尿/便便吗？,36
Ch00-01,Do you want a piggy-back ride?,要我背你吗？,37
Ch00-01,Do you want me to hold you?,要我抱你吗？,38
Ch00-01,Give me a kiss!,亲一下！,39
Ch00-01,Don't fight with your little brother/sister.,不要跟弟弟/妹妹打架。,40
Ch00-01,Don't hit your brother/sister.,不可以打弟弟/妹妹。,41
Ch00-01,Don't bother your sister.,不要打扰你的妹妹。,42
Ch00-01,Play nicely with your friends.,要跟朋友好好玩。,43
Ch00-01,Stop whining.,不要再嘀嘀咕咕了。,44
Ch00-01,Don't talk back!,不要顶嘴！,45
Ch00-01,I'm sorry. Let's make up.,对不起。我们和好吧。,46
Ch00-01,Let me read you a story.,我来念个故事给你听。,47
Ch00-01,It's time to go to bed.,该睡觉了。,48
Ch00-01,Good night! Sweet dreams!,晚安！祝你做个好梦！,49
Ch00-01,Don't forget that I love you.,不要忘记我爱你。,50
Ch00-02,"Good morning, Mom and Dad.",爸爸妈妈，早安！,1
Ch00-02,I'm awake.,我醒了。,2
Ch00-02,"Have a nice day, Dad!",爸，祝你有个美好的一天！,3
Ch00-02,I want to wear this shirt.,我要穿这件衬衫。,4
Ch00-02,I can do it by myself.,我可以自己完成它。,5
Ch00-02,"Mom, I'm all grown up now.",妈，我现在都长大了。,6
Ch00-02,"Do I look good, Mom?",妈，我美/帅吗？,7
Ch00-02,"Tie my hair, please.",请帮我绑头发。,8
Ch00-02,Goodbye! I'm leaving.,再见！我要出门了。,9
Ch00-02,"I'm home, Mom.",妈，我回来了。,10
Ch00-02,"Can you get me the scissors, Mom?",妈，可以给我剪刀吗？,11
Ch00-02,"Look at this, Mom.",妈，看这个。,12
Ch00-02,"Mom, I'm bored.",妈，我很无聊。,13
Ch00-02,"Play with me, Mom!",妈，跟我玩。,14
Ch00-02,Draw me a car.,帮我画车。,15
Ch00-02,Can I watch TV?,我可以看电视吗？,16
Ch00-02,Please play Caillou.,请播放《Caillou》。,17
Ch00-02,After this TV show.,等这个节目结束。,18
Ch00-02,Can I play computer games for a little bit?,我可以玩一会电脑游戏吗？,19
Ch00-02,Can I go play outside?,我可以去外面玩吗？,20
Ch00-02,Can I go play at Jina's house?,我可以去吉娜家玩吗？,21
Ch00-02,"I want to try it, Mommy!",妈咪，我想试试看。,22
Ch00-02,Minji hit me.,敏基打我。,23
Ch00-02,It was not my fault.,不是我的错。,24
Ch00-02,He started it.,是他先开始的。,25
Ch00-02,Don't get angry.,不要生气。,26
Ch00-02,I'm sorry. It won't happen again.,对不起，我不再这样了。,27
Ch00-02,I'm really angry.,我真的生气了。,28
Ch00-02,I'm not talking back.,我不是在顶嘴。,29
Ch00-02,I'm glad youpraised me.,我很高兴你夸奖我。,30
Ch00-02,"Can you get me milk, please?",你可以把牛奶拿给我吗？拜托了。,31
Ch00-02,Can I have some more?,我可以再要一些吗？,32
