Ch00-01,Time to wake up!
Ch00-01,该起床了！ 
Ch00-01,Good morning!
Ch00-01,早安 
Ch00-01,Did you sleep well?
Ch00-01,睡得好吗？ 
Ch00-01,come and eat your breakfast.
Ch00-01,快来吃早餐吧。 
Ch00-01,Don't be picky about your food.
Ch00-01,不要挑食。 
Ch00-01,Wash your face and brush your teeth.
Ch00-01,洗脸刷牙。 
Ch00-01,Daddy is leaving. Say goodbye.
Ch00-01,爸爸要出门了，说再见。 
Ch00-01,Let's get dressed.
Ch00-01,来穿衣服吧。 
Ch00-01,What do you want to wear today?
Ch00-01,今天你想穿什么呢？ 
Ch00-01,Let me comb your hair.
Ch00-01,我来帮你梳头。 
Ch00-01,Did you put some lotion on your face?
Ch00-01,你的脸上擦乳液了吗？ 
Ch00-01,Hurry up.Honey!You'll be late.
Ch00-01,快点，宝贝！要迟到了。 
Ch00-01,Here's the elevator.Let's get in.
Ch00-01,电梯来了。我们进去吧。 
Ch00-01,Push button one.
Ch00-01,按一楼。 
Ch00-01,Let's get out.
Ch00-01,我们出去吧。 
Ch00-01,Have a nice day.
Ch00-01,祝你有个美好的一天。 
Ch00-01,Watch out for cars.
Ch00-01,小心车子。 
Ch00-01,How was school today?
Ch00-01,今天学校如何？ 
Ch00-01,Are you hungry?
Ch00-01,你饿了吗？ 
Ch00-01,Go wash your hands.
Ch00-01,去洗手。 
Ch00-01,Let's have a snack.
Ch00-01,我们吃点心吧。 
Ch00-01,Do you want some more?
Ch00-01,还想要多吃点吗？ 
Ch00-01,Recess is over!
Ch00-01,休息时间结束了。 
Ch00-01,It's time to study!
Ch00-01,该学习了。 
Ch00-01,Sit properly.
Ch00-01,坐好。 
Ch00-01,Do you have any homework?
Ch00-01,你有作业吗？ 
Ch00-01,Are you done with your homework?
Ch00-01,你作业做完了吗？ 
Ch00-01,Did you do well on your test?
Ch00-01,考试考得好吗？ 
Ch00-01,What score did you get on the test?
Ch00-01,你考了几分？ 
Ch00-01,Good job!
Ch00-01,你做得很好！ 
Ch00-01,Move back from the TV.
Ch00-01,从电视那里往后退。 
Ch00-01,Turn off the TV now.
Ch00-01,现在关掉电视。 
Ch00-01,Who made such a mess?
Ch00-01,是谁弄得这么乱？ 
Ch00-01,Put your toys away.
Ch00-01,把你的玩具收拾好。 
Ch00-01,Are you sick?
Ch00-01,你不舒服吗？ 
Ch00-01,Do you wantto pee/poop?
Ch00-01,你要尿尿/便便吗？
Ch00-01,Do you want a piggy-back ride?
Ch00-01,要我背你吗？
Ch00-01,Do you want me to hold you?
Ch00-01,要我抱你吗？
Ch00-01,Give me a kiss!
Ch00-01,亲一下！
Ch00-01,Don't fight with your little brother/sister.
Ch00-01,不要跟弟弟/妹妹打架。
Ch00-01,Don't hit your brother/sister.
Ch00-01,不可以打弟弟/妹妹。
Ch00-01,Don't bother your sister.
Ch00-01,不要打扰你的妹妹。
Ch00-01,Play nicely with your friends.
Ch00-01,要跟朋友好好玩。
Ch00-01,Stop whining.
Ch00-01,不要再嘀嘀咕咕了。
Ch00-01,Don't talk back!
Ch00-01,不要顶嘴！
Ch00-01,I'm sorry. Let's make up.
Ch00-01,对不起。我们和好吧。
Ch00-01,Let me read you a story.
Ch00-01,我来念个故事给你听。
Ch00-01,It's time to go to bed.
Ch00-01,该睡觉了。
Ch00-01,Good night! Sweet dreams!
Ch00-01,晚安！祝你做个好梦！
Ch00-01,Don't forget that I love you.
Ch00-01,不要忘记我爱你。
xxx,孩子最常使用的50句英文
Ch00-02,"Good morning, Mom and Dad."
Ch00-02,爸爸妈妈，早安！ 
Ch00-02,I'm awake.
Ch00-02,我醒了。 
Ch00-02,"Have a nice day, Dad!"
Ch00-02,爸，祝你有个美好的一天！ 
Ch00-02,I want to wear this shirt.
Ch00-02,我要穿这件衬衫。 
Ch00-02,I can do it by myself.
Ch00-02,我可以自己完成它。 
Ch00-02,"Mom, I'm all grown up now."
Ch00-02,妈，我现在都长大了。 
Ch00-02,"Do I look good, Mom?"
Ch00-02,妈，我美/帅吗？ 
Ch00-02,"Tie my hair, please."
Ch00-02,请帮我绑头发。 
Ch00-02,Goodbye! I'm leaving.
Ch00-02,再见！我要出门了。 
Ch00-02,"I'm home, Mom."
Ch00-02,妈，我回来了。 
Ch00-02,"Can you get me the scissors, Mom?"
Ch00-02,妈，可以给我剪刀吗？ 
Ch00-02,"Look at this, Mom."
Ch00-02,妈，看这个。 
Ch00-02,"Mom, I'm bored."
Ch00-02,妈，我很无聊。 
Ch00-02,"Play with me, Mom!"
Ch00-02,妈，跟我玩。 
Ch00-02,Draw me a car.
Ch00-02,帮我画车。 
Ch00-02,Can I watch TV?
Ch00-02,我可以看电视吗？ 
Ch00-02,Please play Caillou.
Ch00-02,请播放《Caillou》。 
Ch00-02,After this TV show.
Ch00-02,等这个节目结束。 
Ch00-02,Can I play computer games for a little bit?
Ch00-02,我可以玩一会电脑游戏吗？ 
Ch00-02,Can I go play outside?
Ch00-02,我可以去外面玩吗？ 
Ch00-02,Can I go play at Jina's house?
Ch00-02,我可以去吉娜家玩吗？ 
Ch00-02,"I want to try it, Mommy!"
Ch00-02,妈咪，我想试试看。 
